line_item_id,order_number,date_key,product_key,customer_key,location_key,payment_key,quantity,unit_price,subtotal_price,total_price_usd,total_tax,tax_rate
gid://shopify/LineItem/2153619128398,1681,20250319,1,1,1,1,1,535.13,535.13,588.643,53.513,10.0
gid://shopify/LineItem/2160863674446,6972,20250324,1,2,2,1,1,578.33,578.33,636.163,57.833,10.0
gid://shopify/LineItem/2157784006734,4994,20250322,1,3,1,1,1,594.33,594.33,653.763,59.433,10.0
gid://shopify/LineItem/2151551729742,206,20250318,1,4,3,2,1,487.13,487.13,535.843,48.713,10.0
gid://shopify/LineItem/2157085786190,4346,20250322,1,5,4,3,1,535.13,535.13,588.643,53.513,10.0
gid://shopify/LineItem/2159012479054,5656,20250323,2,6,5,1,1,741.13,741.13,815.243,74.113,10.0
gid://shopify/LineItem/2160327950414,6507,20250324,2,7,6,1,1,1036.73,1036.73,1140.403,103.673,10.0
gid://shopify/LineItem/2160746299470,6890,20250324,2,8,7,1,1,1038.33,1038.33,1142.163,103.833,10.0
gid://shopify/LineItem/2160156573774,6284,20250324,3,9,8,3,1,508.13,508.13,558.943,50.813,10.0
gid://shopify/LineItem/2160156737614,6285,20250324,3,10,9,1,1,713.13,713.13,784.443,71.313,10.0
gid://shopify/LineItem/2158976237646,5629,20250323,3,11,10,4,1,595.93,595.93,655.523,59.593,10.0
gid://shopify/LineItem/2157950107726,5133,20250322,4,12,11,1,1,634.33,634.33,697.763,63.433,10.0
gid://shopify/LineItem/2160815112270,6937,20250324,4,13,12,1,1,547.13,547.13,601.843,54.713,10.0
gid://shopify/LineItem/2154745790542,2560,20250320,5,14,13,1,1,944.13,944.13,1038.543,94.413,10.0
gid://shopify/LineItem/2156666486862,4090,20250321,5,15,14,3,1,562.13,562.13,618.343,56.213,10.0
gid://shopify/LineItem/2159423553614,5927,20250323,5,16,15,1,1,727.13,727.13,799.843,72.713,10.0
gid://shopify/LineItem/2156700205134,4113,20250321,5,17,16,1,1,529.53,529.53,582.483,52.953,10.0
gid://shopify/LineItem/2161105371214,7159,20250324,5,18,17,1,1,821.53,821.53,903.683,82.153,10.0
gid://shopify/LineItem/2161468571726,7402,20250324,5,19,18,1,1,686.33,686.33,754.963,68.633,10.0
gid://shopify/LineItem/2151810007118,433,20250318,6,20,19,5,1,474.13,474.13,521.543,47.413,10.0
gid://shopify/LineItem/2156680052814,4104,20250321,7,21,20,4,1,595.13,595.13,654.643,59.513,10.0
gid://shopify/LineItem/2155147133006,2985,20250320,8,22,21,5,1,595.13,595.13,654.643,59.513,10.0
gid://shopify/LineItem/2153747775566,1817,20250319,9,23,22,4,1,527.13,527.13,579.843,52.713,10.0
gid://shopify/LineItem/2154416144462,2190,20250320,10,24,23,1,1,527.13,527.13,579.843,52.713,10.0
gid://shopify/LineItem/2154658496590,2457,20250320,10,25,24,5,1,509.53,509.53,560.483,50.953,10.0
gid://shopify/LineItem/2155970003022,3524,20250321,10,26,25,1,1,509.53,509.53,560.483,50.953,10.0
gid://shopify/LineItem/2160748396622,6892,20250324,10,27,26,1,1,587.93,587.93,646.723,58.793,10.0
gid://shopify/LineItem/2160318349390,6494,20250324,11,28,27,3,1,527.13,527.13,579.843,52.713,10.0
gid://shopify/LineItem/2151524663374,173,20250318,11,29,28,1,1,736.73,736.73,810.403,73.673,10.0
gid://shopify/LineItem/2158218510414,5285,20250323,12,30,29,1,1,527.13,527.13,579.843,52.713,10.0
gid://shopify/LineItem/2153012625486,1134,20250319,12,31,30,3,1,579.93,579.93,637.923,57.993,10.0
gid://shopify/LineItem/2154569236558,2377,20250320,12,32,31,1,1,509.53,509.53,560.483,50.953,10.0
gid://shopify/LineItem/2157725122638,4959,20250322,12,33,20,1,1,782.63,782.63,860.893,78.263,10.0
gid://shopify/LineItem/2152949678158,1069,20250319,13,34,32,1,1,527.13,527.13,579.843,52.713,10.0
gid://shopify/LineItem/2157811138638,5011,20250322,13,35,33,1,1,625.13,625.13,687.643,62.513,10.0
gid://shopify/LineItem/2153812885582,1871,20250319,14,36,34,1,1,658.33,658.33,724.163,65.833,10.0
gid://shopify/LineItem/2159186214990,5769,20250323,14,37,35,1,1,587.93,587.93,646.723,58.793,10.0
gid://shopify/LineItem/2159408349262,5916,20250323,14,38,36,1,1,509.53,509.53,560.483,50.953,10.0
gid://shopify/LineItem/2160394436686,6570,20250324,14,39,37,5,1,610.33,610.33,671.363,61.033,10.0
gid://shopify/LineItem/2153597894734,1671,20250319,14,40,10,5,1,569.13,569.13,626.043,56.913,10.0
gid://shopify/LineItem/2161041244238,7104,20250324,14,41,38,3,1,1064.73,1064.73,1171.203,106.473,10.0
gid://shopify/LineItem/2153034022990,1155,20250319,15,42,16,1,1,658.33,658.33,724.163,65.833,10.0
gid://shopify/LineItem/2155003019342,2832,20250320,15,43,39,3,1,509.53,509.53,560.483,50.953,10.0
gid://shopify/LineItem/2156183322702,3705,20250321,15,44,1,1,1,579.93,579.93,637.923,57.993,10.0
gid://shopify/LineItem/2157127106638,4406,20250322,15,45,29,1,1,648.73,648.73,713.603,64.873,10.0
